interaction_nr,position,user_id,text,extended_fulltext,label,diff_after_response
1,from tweet_id,390663031,"@KLM you know what’s even less cool than non-working free wifi? Getting charged for not one, but two non-working fu… https://t.co/Rjkl8b4m7I","@KLM you know what’s even less cool than non-working free wifi? Getting charged for not one, but two non-working full flight wifi vouchers. https://t.co/KEL0m4HgJM",-1.0,None
1,from response_id,56377143,"@alex_delta We regret to read this, Alex. Please send us a DM with your booking details so we can check this further. Thank you.",,None,None
1,from reaction_id,390663031,@KLM Which ones do you need? Booking code and voucher codes?,,0.0,1.0
2,from tweet_id,76081251,"@AmericanAir I understand the details but if a customer is willing to pay to upgrade his or her ticket, why wouldn’… https://t.co/95XBpBg2zP","@AmericanAir I understand the details but if a customer is willing to pay to upgrade his or her ticket, why wouldn’t you allow them too? Especially service members traveling for family. Very disappointing",-0.5,None
2,from response_id,22536055,@rcthat We appreciate your service and we're sorry for the inconvenience.,,None,None
2,from reaction_id,76081251,@AmericanAir Should’ve flown @AlaskaAir 🤦🏻‍♂️,,-1.0,-0.5
3,from tweet_id,1052624963495182336,@AmericanAir  Are you guys flying planes to haiti monday and tuesday for the U.S citizens stranded there ?,,0.0,None
3,from response_id,22536055,"@alec_colimon We do have a flight heading in tomorrow. If you're needing help returning to the U.S., please DM your record locator.",,None,None
3,from reaction_id,1052624963495182345,@AmericanAir DM you guys ? what is a record locator ?,,0.0,0.0
4,from tweet_id,22554085,Just called @AmericanAir to see if I could switch from flying thru DFW to   CLT instead so I could get home at 10:3… https://t.co/j6pVOSrMXA,Just called @AmericanAir to see if I could switch from flying thru DFW to   CLT instead so I could get home at 10:30pm instead of 1:30am ahead of my grandmother's services and they told me to cough up the $500 difference in fare. Cold blooded killers. DO NOT RECOMMEND.,-1.0,None
4,from response_id,22536055,"@vjwhite We're sorry for your loss. When you pay for a restrictive ticket and make a voluntary change, fees may apply.",,None,None
4,from reaction_id,22554085,@AmericanAir I'm also very sorry for your loss - of customers. It doesn't make much difference for you whether I fl… https://t.co/3Ws1lUkdck,"@AmericanAir I'm also very sorry for your loss - of customers. It doesn't make much difference for you whether I fly thru one connecting city or another, but getting home 3 hours earlier would greatly help me mentally.",-1.0,0.0
5,from tweet_id,800702695044575232,Just love @SingaporeAir. Courteous staff and excellent service.,,1.0,None
5,from response_id,253340062,"@_Patient_Bird Hi there, thank you for your kind words! May we clarify if this is regarding a recent flight experience with us? Thank you.",,None,None
5,from reaction_id,800702695044575232,@SingaporeAir Yes; SQ424.,,0.0,-1.0
6,from tweet_id,62672410,"@AmericanAir Booked BA flt using AA miles. Total disaster. Flight got cancelled, AA didn't accommodate on an alt pa… https://t.co/Uur2W5d1QJ","@AmericanAir Booked BA flt using AA miles. Total disaster. Flight got cancelled, AA didn't accommodate on an alt partner flight. Bought another tckt using double miles on Etihad. Now for an international business cls ticket on miles, Etihad is saying 0 allowance for checked bags!",-1.0,None
6,from response_id,22536055,"@gupta_aseem So sorry for the disappointment with your travels. When traveling on other airlines, they're rules do apply.",,None,None
6,from reaction_id,62672410,@AmericanAir Etihad is saying AA made a mistake in ticketing. AA is saying that they have no clue. Etihad website s… https://t.co/dEUs6qlShi,"@AmericanAir Etihad is saying AA made a mistake in ticketing. AA is saying that they have no clue. Etihad website says baggage allowance for such tickets is 50kg but I am being asked to pay $1,000 to check 2 bags.",-0.5,0.5
7,from tweet_id,1072520256541872128,@AmericanAir Missed my flight and I’m on standby now. I was so close to making it though 😭,,-0.5,None
7,from response_id,22536055,@angelamaivas We hate when that happens! Please share your record locator via DM so we can take a look.,,None,None
7,from reaction_id,1072520256541872128,@AmericanAir The culprit. https://t.co/0c0f2gDQs2,,0.5,1.0
9,from tweet_id,1209104814354948096,@British_Airways     is your website down? I have spent the last 30 mins trying to book flights to AMS and I keep g… https://t.co/pIjTf0eEhy,@British_Airways     is your website down? I have spent the last 30 mins trying to book flights to AMS and I keep getting error message. Get your house in order.,-0.5,None
9,from response_id,18332190,@Ania74996303 We were experiencing some technical issues earlier today. They issues appear to have now been resolve… https://t.co/3Kog4Aii58,@Ania74996303 We were experiencing some technical issues earlier today. They issues appear to have now been resolved. I'm sorry for any inconvenience caused. Lindsey,None,None
9,from reaction_id,1209104814354948096,"@British_Airways Dear Lindsay thank you for your response but sadly it doesn’t appear so, still unable to book flig… https://t.co/0yjDVSuE8g","@British_Airways Dear Lindsay thank you for your response but sadly it doesn’t appear so, still unable to book flights. https://t.co/vQtNPWS1Be",-0.5,0.0
10,from tweet_id,236116768,@easyJet morning! Are you stopping flights from LPL to FUE from end March? No further dates available online?,,0.0,None
10,from response_id,38676903,"@cookienoeltoms We've released all our flights up to the 24/10/2020, you can see this here:https://t.co/ajikYg5C2c.… https://t.co/FpATk02BGZ","@cookienoeltoms We've released all our flights up to the 24/10/2020, you can see this here:https://t.co/ajikYg5C2c. 
I can see that we only fly this route (LPL-FUE) up to the 28/03/2020, this means that this is only a seasonal route, so we don't fly all year round. (1/2)",None,None
10,from reaction_id,236116768,@easyJet Ryanair it is then 😩,,-0.5,-0.5
11,from tweet_id,55331572,Thank you @AmericanAir for getting me on the next flight to #ATL after the missed connection. Appreciate the great… https://t.co/qG4guWpkYN,Thank you @AmericanAir for getting me on the next flight to #ATL after the missed connection. Appreciate the great team on the Aadvantage desk working hard for us. 👍,1.0,None
11,from response_id,22536055,@SiAction We're glad they could hop into action quickly! We truly appreciate the kind words. We'll have you to Atlanta ASAP.,,None,None
11,from reaction_id,55331572,@AmericanAir My travel companion got on via standby too. I don’t begrudge her the better seat- happy to help my col… https://t.co/86Ltcfi595,@AmericanAir My travel companion got on via standby too. I don’t begrudge her the better seat- happy to help my colleagues who don’t have status get to see your good service. Hopefully she’ll fly more now. Glad we both made it and it will set us up for a good conference.,1.0,0.0
12,from tweet_id,1363300777,".@AmericanAir I have already sworn against flying your airlines, but my baby had to see for himself. Way to go! You… https://t.co/CDmtjG7fhk",".@AmericanAir I have already sworn against flying your airlines, but my baby had to see for himself. Way to go! You just lost a young customer and his friends who all fly frequently. 🖕",-1.0,None
12,from response_id,22536055,@DatBreauxChic Is your child a minor? We'd like to take a closer look into this if you'll DM their booking code.,,None,None
12,from reaction_id,1363300777,"@AmericanAir Hes not a minor, but that doesn't change the fact that my child (19) is alone far from home and gettin… https://t.co/eqhsx8aeEn","@AmericanAir Hes not a minor, but that doesn't change the fact that my child (19) is alone far from home and getting nothing but rudeness and zero help from your employees at DFW.",-1.0,0.0
13,from tweet_id,200051183,"@British_Airways  Hello, I have a question regarding my upcoming travel. 
Please help. Thanks!",,0.0,None
13,from response_id,18332190,"@adewus4real Hi there, how can we help? Cody",,None,None
13,from reaction_id,200051183,@British_Airways Am I able to send you a direct message or do you initiate it?,,0.0,0.0
14,from tweet_id,994634023770214400,@easyJet from Belfast International airport to Stansted  flight diverted to Southend airport . Passengers are still… https://t.co/kDv66OqWuE,@easyJet from Belfast International airport to Stansted  flight diverted to Southend airport . Passengers are still waiting for more than 2 hours for the replacement coach you promised. We need a response now,-0.5,None
14,from response_id,38676903,"@EdorhYvonne Hi Yvonne, I'm really sorry to hear this. Please can you speak to a member of our staff at the airport… https://t.co/MYWldJvq2R","@EdorhYvonne Hi Yvonne, I'm really sorry to hear this. Please can you speak to a member of our staff at the airport as they'll be able to help you. Thanks, Hanna",None,None
14,from reaction_id,994634023770214400,@easyJet There are no @easyJet staff at Southend airport to help your passengers,,-0.5,0.0
15,from tweet_id,955808737868111872,"@SingaporeAir @SimonCalder I have already completed your online form twice, communicated by email &amp; also Twitter. H… https://t.co/PUl1EP3HMy","@SingaporeAir @SimonCalder I have already completed your online form twice, communicated by email &amp; also Twitter. How many times must I convey the same information to you before you give me clarity on my situation &amp; hope of return to my airport of origin? And when can I speak to your staff in Melbourne?",-0.5,None
15,from response_id,253340062,"@CanalKeys @SimonCalder Hi KayEmm, please would you provide your contact details in an email to SQ_Social@singapore… https://t.co/jYi3ovfR8X","@CanalKeys @SimonCalder Hi KayEmm, please would you provide your contact details in an email to SQ_Social@singaporeair.com.sg in order for our agents to be able to reach you? Thank you.",None,None
15,from reaction_id,955808737868111872,@SingaporeAir @SimonCalder Yes. I’ll do this. Again.,,0.0,0.5
16,from tweet_id,13460112,.@AmericanAir crazy fares. My mum died and it’s $600-1400 for a one way ticket back to the US using my $400 cancell… https://t.co/cpTHy4iVfE,.@AmericanAir crazy fares. My mum died and it’s $600-1400 for a one way ticket back to the US using my $400 cancelled flight credit. A round trip is $600. Can’t use credit on RT so I lose $400. Seems like your highest status customers should get $100-200 voucher. Something!,-0.5,None
16,from response_id,22536055,"@kiasuchick Our condolences to you, Melanie. We want to assist you with the best options. Give our EP desk a call for assistance.",,None,None
16,from reaction_id,13460112,@AmericanAir I did and they told me I need to pay an additional $600-1400.,,-0.5,0.0
17,from tweet_id,599132108,Hey @Qantas I booked a long distance flight for my family of 4 less than 24hrs before you started advertising your… https://t.co/p5CmM5SSN6,Hey @Qantas I booked a long distance flight for my family of 4 less than 24hrs before you started advertising your 50% extra frequent flyer points offer. Would you be able to honor that offer for my booking too?,0.0,None
17,from response_id,218730857,"@jamesperth Hi James, this won't be honoured as it was booked outside the promotion. Sorry you missed out on this occasion. Zen",,None,None
17,from reaction_id,599132108,@Qantas That's a bit ridiculous isn't it @Qantas? I was originally going to wait until this week to book but you li… https://t.co/SMT6eBYfZ2,@Qantas That's a bit ridiculous isn't it @Qantas? I was originally going to wait until this week to book but you literally prompted me to make the booking. Is this so that you can reduce the number of loyal customers who actually are eligible for your promotion?,-0.5,-0.5
18,from tweet_id,602341673,"@AmericanAir Any info on when AA3586 will depart? YYZ-&gt;JFK, scheduled for 17:20. About 20 min before departure they… https://t.co/96TedkfjqK","@AmericanAir Any info on when AA3586 will depart? YYZ-&gt;JFK, scheduled for 17:20. About 20 min before departure they said delayed til 19:30. But airport screens say 16:20 and are changing every 10 min to add another 10-min delay. No gate agents. No email/text alerts. What gives?",0.0,None
18,from response_id,22536055,"@Leigh_KC Hi, Leigh. We're glad to see you're boarded and we should have you on your way any moment now. Thanks for your patience.",,None,None
18,from reaction_id,602341673,@AmericanAir The pilot just said we are going to sit in the plane for another 25 minutes. I understand that delays… https://t.co/GQwDlOooDd,@AmericanAir The pilot just said we are going to sit in the plane for another 25 minutes. I understand that delays happen; the lack of transparency and conflicting information about delays is what’s frustrating.,0.0,0.0
19,from tweet_id,750915044,@easyJet really disappointed that neither your customer service team or Menzies have replied to my emails in over a… https://t.co/BnVUKr1QU6,@easyJet really disappointed that neither your customer service team or Menzies have replied to my emails in over a week re having to wait over an hour for baggage at Luton! We were told to contact both companies. Please help!!!!,-1.0,None
19,from response_id,38676903,"@jdgtwit Hi Jonathan, If you can give our customer service center a call they will be able to give you an update. T… https://t.co/hzsz6jBxXs","@jdgtwit Hi Jonathan, If you can give our customer service center a call they will be able to give you an update. The contact details are here: https://t.co/96b3iEIl7X. Conor",None,None
