interaction_nr,position,user_id,text,extended_fulltext,label,diff_after_response
1,from tweet_id,208394113,@KLM Kunnen jullie aangeven hoelang de wachttijd is op een vraag? Ik heb 23 uur geleden een vraag via Whatsapp gesteld waar ik nog op wacht.,,-0.5,None
1,from response_id,56377143,@michelderuiter We hebben op dit moment te maken met extreem hoge volumes. We zullen je bericht zo spoedig mogelijk… https://t.co/pr2zpEiTzB,@michelderuiter We hebben op dit moment te maken met extreem hoge volumes. We zullen je bericht zo spoedig mogelijk via WhatsApp beantwoorden. Bedankt voor je geduld.,None,None
1,from reaction_id,208394113,"@KLM Dat snap ik, maar is er enige indicatie te geven? Aangezien ik op dit moment in Vietnam zit en dit land maanda… https://t.co/hvBgH5Pm5x","@KLM Dat snap ik, maar is er enige indicatie te geven? Aangezien ik op dit moment in Vietnam zit en dit land maandag wil verlaten. Inmiddels is het hier code oranje geworden.",-0.5,0.0
2,from tweet_id,1154837785947385856,Ook zo goed over nagedacht @KLM met die nieuwe stoelen: tafel tegen je buik aan maar aan de achterkant volop ruimte… https://t.co/SBT1K7FMFK,"Ook zo goed over nagedacht @KLM met die nieuwe stoelen: tafel tegen je buik aan maar aan de achterkant volop ruimte.
En nee, zo groot is m'n buik niet.
Echt ontworpen zonder te kijken naar de ervaring van gebruikers, ook wel het bekende bureau ontwerp: het zag er zo leuk op pc. https://t.co/T2aHclksip",-1.0,None
2,from response_id,56377143,@tweetbird2019 Bedankt voor je feedback! Gelukkig hoef je niet de gehele vlucht zo te zitten! 😄,,None,None
2,from reaction_id,1154837785947385856,"@KLM Nou dat klopt niet hoor, volle vlucht, gelukkig maar...
Maar betekend wel dat je gewoon in één houding moet zi… https://t.co/f4XknD1Ql1","@KLM Nou dat klopt niet hoor, volle vlucht, gelukkig maar...
Maar betekend wel dat je gewoon in één houding moet zitten, en dat is niet prettig met deze stoelen....
Nogmaals, deze stoelen, en vooral hoe krap ze geplaatst zijn is geen pretje... En dan die tafeltje....  Kan echt niet...",-1.0,0.0
3,from tweet_id,814981665567244288,"@KLM mij FB account is geblokkeerd, wat nu te doen?",,0.0,None
3,from response_id,56377143,@wabp_steenwijk Kun je ons in een DM de gegevens sturen waar we in ons privébericht om hebben gevraagd? Dan helpen we je graag verder! 😃,,None,None
3,from reaction_id,814981665567244288,@KLM Inmiddels gedaan maar helaas blijft het stil...🤔,,-0.5,-0.5
4,from tweet_id,73875631,We gaan weer lekker @KLM soapen vandaag. Zoals ik al dacht is de rebook-policy verlengd. Dus ik probeerde te annule… https://t.co/VHuTpfrG7A,"We gaan weer lekker @KLM soapen vandaag. Zoals ik al dacht is de rebook-policy verlengd. Dus ik probeerde te annuleren via hun webformulier. Vulde dat hele ding in, drukte op ""verder"" en toen was alles foetsie. Opnieuw lukt niet. Dus ik ga weer met de bots praten hoor... 😩",-1.0,None
4,from response_id,56377143,"@biancatoeps We hebben zojuist gereageerd op je DM, Bianca. We assisteren je graag.",,None,None
4,from reaction_id,73875631,"@KLM Kunnen jullie nog even reageren dan, vroeg 1 uur en 20 minuten geleden om opties...?",,-1.0,0.0
5,from tweet_id,957807812,@KLM Jullie hebben mij meer een standaard bericht gestuurd en geen duidelijk antwoord op mijn vraag. Zouden jullie… https://t.co/Fqqgb5owOf,"@KLM Jullie hebben mij meer een standaard bericht gestuurd en geen duidelijk antwoord op mijn vraag. Zouden jullie mijn DM weer willen beantwoorden? Als jullie het antwoord zelf niet weten dan zie ik graag een link naar de voorwaarden of regels die hier bij gelden, tegemoet",-1.0,None
5,from response_id,56377143,@maarwieisjat Hoi. Zojuist hebben wij jouw DM beantwoord.,,None,None
5,from reaction_id,957807812,"@KLM Hi, ik heb geen nieuwe reactie van jullie ontvangen hoor. Beetje jammer dit. Ik zie graag nog een antwoord tegemoet!",,-0.5,0.5
6,from tweet_id,84379602,"@KLM mijn collega zit vast op een vlucht van luxembourg naar schiphol, op de luchthaven van schiphol, gaat deze pro… https://t.co/G5uVe4HgtV","@KLM mijn collega zit vast op een vlucht van luxembourg naar schiphol, op de luchthaven van schiphol, gaat deze procedure lang duren? Is er iets ernstig aan de hand? #coronavirus",0.0,None
6,from response_id,56377143,@SamiraTaarabti &gt;&gt; Zou je zo vriendelijk willen zijn om ons het vluchtnummer te delen? We komen daarna zo spoedig mogelijk bij je terug. &lt;&lt;,,None,None
6,from reaction_id,84379602,@KLM Ze mogen eruit! Oef!,,0.5,0.5
7,from tweet_id,146872603,@KLM Hallo. Ik schrijf jullie beetje later DM! Even bijkomen.,,0.0,None
7,from response_id,56377143,"@AnastasiaSivach We kijken uit naar je DM, Anastasia.",,None,None
7,from reaction_id,146872603,@KLM Hallo. Als ik ben nodig dan ik ben hier tot 21:30. Ik heb met jullie in DM link van mijn verslag over KLM en j… https://t.co/ftr1krh6uw,@KLM Hallo. Als ik ben nodig dan ik ben hier tot 21:30. Ik heb met jullie in DM link van mijn verslag over KLM en jullie gedeeld en nog wat! Graag in DM beantwoorden!!! Doe rustig aan met antwoorden van DM!! Hoeft geen haast te maken!,0.0,0.0
8,from tweet_id,146872603,Even @KLM Webcare in zonnetje zetten ze hebben dat weer verdiend!!! Ik ga straks hun op Tripadvisor zetten in zonne… https://t.co/QaAvUnxlp3,Even @KLM Webcare in zonnetje zetten ze hebben dat weer verdiend!!! Ik ga straks hun op Tripadvisor zetten in zonnetje!! En ik ben allang super blij met KLM Webcare!!!!,1.0,None
8,from response_id,56377143,"@AnastasiaSivach Wij zijn, net als altijd, ook superblij met jou Anastasia! &lt;3 :-D",,None,None
8,from reaction_id,146872603,@KLM Ik ben allang super blij met jullie!! Ik ga straks jullie in zonnetje zetten op Tripadvisor! Jullie hebben dat weer verdiend! 💙💙,,1.0,0.0
9,from tweet_id,20061476,Thuis begrijpen ze mn grapjes ook nooit. Thanks. #klm https://t.co/5FApGxnMi4,,0.5,None
9,from response_id,56377143,"@plooiman Sorry Koos, we zijn nog een beetje jet lagged van al het vliegen. Trek het je vooral niet persoonlijk aan 💙",,None,None
9,from reaction_id,20061476,@KLM Zal ik niet doen. Ik tegenstelling tot mn trui. Die trek ik wel persoonlijk aan.,,0.0,-0.5
10,from tweet_id,146872603,@liefde4reizen Hallo. Barcelona met KLM over 21 dagen!!! https://t.co/COnkMTZM6n,,0.0,None
10,from response_id,56377143,@AnastasiaSivach We kunnen niet wachten om je te zien! Tot snel aan boord 😊💙,,None,None
10,from reaction_id,146872603,@KLM Hallo. Jullie hebben van mijn DM vragen over Mijn Reis ik kom daar niet uit!!! Alle schreenshots jullie hebben… https://t.co/BtszAkstKI,@KLM Hallo. Jullie hebben van mijn DM vragen over Mijn Reis ik kom daar niet uit!!! Alle schreenshots jullie hebben van mijn in DM!!! Graag daar antwoorden!!!,-0.5,-0.5
11,from tweet_id,2927671173,"@KLM ik vlieg straks business klass vanaf Barcelona naar Amsterdam, van welke lounge kan ik in Barcelona gebruik ma… https://t.co/8yi13rKvg0","@KLM ik vlieg straks business klass vanaf Barcelona naar Amsterdam, van welke lounge kan ik in Barcelona gebruik maken? Ik kan deze informatie niet 123 vinden.",0.0,None
11,from response_id,56377143,"@nieuwkoop_jf Hoi Roy, de lounge 'Pau Casals' kun je vinden bij Terminal 1, 1e verdieping,  boarding area. Naast he… https://t.co/3C0FhFFJMv","@nieuwkoop_jf Hoi Roy, de lounge 'Pau Casals' kun je vinden bij Terminal 1, 1e verdieping,  boarding area. Naast het  Sky Center, is geopend van 05:00 tot 23:30. Goede vlucht alvast! ✈️",None,None
11,from reaction_id,2927671173,"@KLM Dankjewel KLM, maar ik ben roy niet hoor. Zit je stiekem over je nieuwe vriendje te denken?))",,0.5,0.5
12,from tweet_id,20012731,@KLM Hallo:) Ik bel zojuist me het service centre en krijg een bandje met dat ze gesloten zijn. Gekke tijd om dicht… https://t.co/x1oHundFkX,@KLM Hallo:) Ik bel zojuist me het service centre en krijg een bandje met dat ze gesloten zijn. Gekke tijd om dicht te zijn. Ik wil assistentie aanvragen en bel daar altijd voor. Heeft iem het juiste nummer voor mij in DM? BVD!,0.0,None
12,from response_id,56377143,@AnitaUnderCover Via https://t.co/DbqDVJJmQk vind je onze contactgegevens. Indien wij je via Twitter kunnen assiste… https://t.co/lbOM4hpYLf,"@AnitaUnderCover Via https://t.co/DbqDVJJmQk vind je onze contactgegevens. Indien wij je via Twitter kunnen assisteren, dan ontvangen we graag je gegevens via DM.",None,None
12,from reaction_id,20012731,"@KLM Misschien dat nummer, als eerste in het rijtje, even checken zelf? Geeft al een uur aan dat ze gesloten zijn! Ik kom even in DM.",,0.0,0.0
13,from tweet_id,154510940,"Heel erg slecht internet op @klm vlucht KL767 van Bonaire naar Amsterdam. €18 voor niets betaald, jammer",,-1.0,None
13,from response_id,56377143,"@huubvandervlugt Hey Huub, dat is spijtig om te horen! Zou je ons een privé berichtje kunnen sturen?",,None,None
13,from reaction_id,154510940,@KLM Tweede helft van de vlucht was de Wi-Fi super aan boord van de KL767. Dank @KLM voor deze service aan boord,,1.0,2.0
14,from tweet_id,776337163503960064,KLM Kunt u uw vrachtvliegtuigen inlichten dat er geen leveringen zijn in Leiden? Zojuist wederom meer dan 80DB over… https://t.co/JCJ5afmm1u,KLM Kunt u uw vrachtvliegtuigen inlichten dat er geen leveringen zijn in Leiden? Zojuist wederom meer dan 80DB over mijn huis. Mensen in Hoofddorp kunnen jullie dan echt aanraken. Waar is dit voor nodig?,-0.5,None
14,from response_id,56377143,"@fidessa1959 Hoi, je klacht over geluidsoverlast kun je hier indienen: https://t.co/zoAE6eggof.",,None,None
14,from reaction_id,776337163503960064,@KLM Daar heb ik niets aan KLM. Ik mag hopen dat jullie je iets....aantrekken van wat jullie mensen aandoen. En dit… https://t.co/MEwRbsGtNR,@KLM Daar heb ik niets aan KLM. Ik mag hopen dat jullie je iets....aantrekken van wat jullie mensen aandoen. En dit is de tweede maal dat jullie vrachtvliegtuig pakjes komt afleveren IN mijn huis.,-0.5,0.0
